Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region,Stress_Level_Category,Social_Isolation_Category
EMP0630,52,Prefer not to say,Designer,Healthcare,11,Hybrid,28,13,4,Low,Anxiety,Yes,Increase,5,Unsatisfied,4,,Average,North America,Medium,High
EMP0631,29,Maleale,Project Manager,Healthcare,18,Onsite,49,14,5,Low,Burnout,No,Decrease,2,Satisfied,4,Weekly,Poor,Asia,High,Low
EMP0632,53,Femaleemale,Designer,Finance,13,Hybrid,56,1,2,Medium,Depression,Yes,Decrease,1,Unsatisfied,4,,Average,North America,Low,Low
EMP0633,42,Maleale,Sales,Finance,7,Remote,38,1,3,High,Anxiety,Yes,Increase,4,Unsatisfied,3,,Poor,North America,Medium,Medium
EMP0634,35,Maleale,Marketing,Healthcare,26,Onsite,46,0,3,Low,,No,No Change,1,Neutral,1,Weekly,Good,Oceania,Medium,Low
EMP0635,42,Non-binary,Project Manager,Healthcare,7,Hybrid,32,3,1,High,Depression,No,Increase,4,Unsatisfied,3,Daily,Average,Asia,Low,Medium
EMP0636,45,Maleale,Software Engineer,Retail,16,Onsite,52,1,2,High,Depression,No,Increase,1,Neutral,2,Daily,Average,Africa,Low,Low
EMP0637,24,Maleale,Sales,Finance,16,Hybrid,48,13,1,Low,Burnout,Yes,Increase,2,Unsatisfied,3,,Good,Asia,Low,Low
EMP0638,40,Femaleemale,Software Engineer,Manufacturing,19,Remote,38,0,3,High,Burnout,No,Increase,5,Unsatisfied,4,Weekly,Good,Europe,Medium,High
EMP0639,52,Non-binary,Software Engineer,Finance,16,Hybrid,25,2,3,High,,Yes,Decrease,3,Satisfied,1,Daily,Good,Africa,Medium,Medium
EMP0640,55,Maleale,Sales,Manufacturing,20,Hybrid,27,10,5,Low,Depression,Yes,No Change,2,Satisfied,2,,Poor,North America,High,Low
EMP0641,38,Non-binary,Data Scientist,Finance,31,Hybrid,28,3,2,High,Anxiety,No,No Change,1,Unsatisfied,5,,Poor,North America,Low,Low
EMP0642,50,Maleale,Designer,Retail,15,Onsite,36,6,5,Low,Burnout,Yes,Decrease,2,Satisfied,1,Daily,Poor,North America,High,Low
EMP0643,36,Maleale,Marketing,Retail,31,Onsite,53,3,1,Medium,Burnout,Yes,Increase,4,Neutral,4,,Poor,Oceania,Low,Medium
EMP0644,36,Femaleemale,Project Manager,Education,20,Onsite,54,15,3,Medium,Burnout,Yes,No Change,4,Satisfied,2,,Good,Europe,Medium,Medium
EMP0645,34,Maleale,Sales,IT,26,Hybrid,39,3,3,Medium,,Yes,Decrease,3,Satisfied,5,Weekly,Average,Oceania,Medium,Medium
EMP0646,55,Maleale,Designer,Consulting,16,Onsite,47,8,1,Medium,,Yes,No Change,3,Unsatisfied,5,,Average,South America,Low,Medium
EMP0647,37,Prefer not to say,HR,Consulting,14,Hybrid,60,1,3,High,Burnout,Yes,No Change,4,Satisfied,4,,Good,North America,Medium,Medium
EMP0648,39,Femaleemale,Designer,Finance,29,Onsite,37,1,3,Low,Burnout,No,Decrease,3,Satisfied,4,Weekly,Good,North America,Medium,Medium
EMP0649,41,Femaleemale,Marketing,IT,13,Remote,33,10,3,Low,Depression,No,Decrease,4,Satisfied,5,Weekly,Good,Asia,Medium,Medium
EMP0650,58,Maleale,Sales,Consulting,31,Onsite,27,13,5,Low,Anxiety,No,Increase,4,Satisfied,3,Weekly,Good,Asia,High,Medium
EMP0651,25,Femaleemale,Software Engineer,Consulting,1,Remote,39,6,4,Low,Anxiety,Yes,Decrease,2,Unsatisfied,5,Daily,Average,Africa,Medium,Low
EMP0652,26,Maleale,HR,Retail,9,Onsite,45,0,2,Medium,Burnout,Yes,Decrease,4,Satisfied,5,Weekly,Poor,Oceania,Low,Medium
EMP0653,23,Maleale,Project Manager,Education,21,Remote,57,5,1,Low,Anxiety,No,No Change,4,Unsatisfied,4,Daily,Average,North America,Low,Medium
EMP0654,45,Maleale,Data Scientist,IT,5,Remote,27,9,3,High,Burnout,Yes,No Change,2,Neutral,5,Daily,Good,Europe,Medium,Low
EMP0655,55,Maleale,Software Engineer,Retail,1,Hybrid,44,5,2,High,Anxiety,Yes,Increase,2,Satisfied,1,Weekly,Poor,Asia,Low,Low
EMP0656,23,Maleale,Designer,Education,1,Remote,25,3,5,High,,Yes,Decrease,5,Neutral,4,,Average,North America,High,High
EMP0657,27,Femaleemale,Software Engineer,Education,14,Hybrid,46,5,1,Medium,Burnout,No,Decrease,3,Unsatisfied,4,Daily,Good,Oceania,Low,Medium
EMP0658,33,Maleale,Marketing,Consulting,12,Remote,51,12,1,Low,Burnout,Yes,Increase,5,Neutral,2,,Poor,Oceania,Low,High
EMP0659,54,Non-binary,HR,Retail,32,Remote,55,5,5,Low,,Yes,No Change,4,Satisfied,4,Weekly,Good,Europe,High,Medium
EMP0660,47,Non-binary,Software Engineer,Retail,9,Onsite,54,14,4,High,Burnout,Yes,Decrease,5,Neutral,3,Daily,Good,Europe,Medium,High
EMP0661,48,Prefer not to say,Software Engineer,IT,3,Onsite,34,11,3,High,Burnout,Yes,Increase,4,Satisfied,3,,Poor,Africa,Medium,Medium
EMP0662,35,Femaleemale,Designer,Retail,2,Hybrid,32,9,1,Low,,Yes,Decrease,2,Satisfied,1,,Average,Asia,Low,Low
EMP0663,43,Maleale,Software Engineer,Retail,32,Remote,23,10,5,Low,Burnout,No,Increase,4,Satisfied,5,Daily,Good,South America,High,Medium
EMP0664,43,Femaleemale,Sales,Retail,23,Remote,22,8,1,High,Burnout,No,No Change,1,Unsatisfied,5,Daily,Good,Africa,Low,Low
EMP0665,46,Prefer not to say,Marketing,Consulting,25,Onsite,36,2,1,High,Anxiety,Yes,Decrease,2,Unsatisfied,3,Daily,Poor,South America,Low,Low
EMP0666,38,Non-binary,Project Manager,Retail,29,Onsite,50,3,5,Low,Depression,No,No Change,4,Neutral,1,Weekly,Poor,Oceania,High,Medium
EMP0667,22,Femaleemale,HR,Retail,11,Hybrid,36,13,5,High,Anxiety,Yes,Increase,4,Neutral,2,Weekly,Good,Asia,High,Medium
EMP0668,41,Non-binary,Data Scientist,Finance,33,Remote,39,13,4,Medium,Burnout,No,No Change,5,Neutral,3,Weekly,Good,North America,Medium,High
EMP0669,50,Maleale,Sales,Education,31,Hybrid,32,15,5,Medium,,Yes,No Change,4,Unsatisfied,4,Weekly,Good,Oceania,High,Medium
EMP0670,50,Prefer not to say,Marketing,Manufacturing,12,Hybrid,53,10,2,Low,,No,No Change,2,Neutral,2,Daily,Good,Africa,Low,Low
EMP0671,42,Prefer not to say,Software Engineer,Education,5,Remote,57,12,5,Medium,Depression,Yes,Decrease,1,Unsatisfied,4,Weekly,Good,Europe,High,Low
EMP0672,22,Non-binary,Designer,Retail,27,Remote,25,12,4,High,Burnout,Yes,Increase,4,Satisfied,2,Weekly,Poor,Europe,Medium,Medium
EMP0673,60,Femaleemale,Sales,IT,6,Onsite,25,6,3,Medium,Depression,Yes,Increase,2,Unsatisfied,1,,Poor,Asia,Medium,Low
EMP0674,58,Prefer not to say,Sales,Manufacturing,2,Remote,25,7,2,Low,,No,Decrease,4,Neutral,2,Weekly,Poor,Asia,Low,Medium
EMP0675,32,Non-binary,HR,IT,33,Remote,52,3,4,High,Depression,No,Increase,3,Satisfied,2,Daily,Poor,Europe,Medium,Medium
EMP0676,32,Maleale,Sales,Manufacturing,6,Hybrid,44,15,2,Medium,Anxiety,Yes,No Change,4,Unsatisfied,2,Daily,Average,Oceania,Low,Medium
EMP0677,44,Femaleemale,Sales,Healthcare,20,Remote,27,7,1,High,Depression,No,Decrease,5,Neutral,5,Daily,Average,North America,Low,High
EMP0678,42,Prefer not to say,Software Engineer,Retail,30,Remote,37,15,2,Medium,Depression,Yes,Increase,2,Neutral,3,Weekly,Poor,Africa,Low,Low
EMP0679,25,Prefer not to say,HR,IT,33,Onsite,39,15,3,Medium,,Yes,Increase,2,Satisfied,3,,Average,South America,Medium,Low
EMP0680,43,Maleale,Data Scientist,Consulting,32,Hybrid,40,7,4,Medium,Depression,No,No Change,5,Unsatisfied,1,Weekly,Average,Europe,Medium,High
EMP0681,39,Maleale,Project Manager,Finance,1,Hybrid,60,5,5,High,Depression,No,No Change,4,Satisfied,3,Daily,Poor,Oceania,High,Medium
EMP0682,53,Prefer not to say,Data Scientist,IT,10,Onsite,53,15,4,Medium,Burnout,Yes,Increase,3,Neutral,4,Daily,Average,Oceania,Medium,Medium
EMP0683,30,Prefer not to say,Sales,Consulting,1,Onsite,35,8,5,Medium,Depression,Yes,No Change,1,Satisfied,4,,Poor,North America,High,Low
EMP0684,40,Non-binary,Sales,Manufacturing,21,Onsite,44,0,4,Medium,Depression,No,No Change,4,Neutral,2,,Average,Africa,Medium,Medium
EMP0685,53,Prefer not to say,Data Scientist,IT,28,Remote,60,5,1,Medium,,No,Decrease,2,Satisfied,2,,Good,Africa,Low,Low
EMP0686,59,Maleale,Sales,Finance,4,Onsite,27,14,2,High,Depression,Yes,No Change,2,Unsatisfied,4,,Average,Africa,Low,Low
EMP0687,39,Prefer not to say,Data Scientist,Healthcare,20,Remote,39,1,4,Low,,No,Increase,5,Unsatisfied,2,Weekly,Good,Asia,Medium,High
EMP0688,57,Non-binary,Data Scientist,IT,31,Remote,31,1,3,Low,Anxiety,No,Increase,1,Satisfied,1,Daily,Average,Africa,Medium,Low
EMP0689,57,Maleale,Marketing,Education,11,Hybrid,25,0,4,High,Depression,Yes,Increase,3,Neutral,2,Daily,Average,South America,Medium,Medium
EMP0690,45,Prefer not to say,Software Engineer,Education,5,Hybrid,21,10,1,Medium,Burnout,Yes,Decrease,4,Satisfied,4,Weekly,Good,Asia,Low,Medium
EMP0691,31,Prefer not to say,Marketing,Finance,16,Onsite,49,7,3,Medium,Anxiety,Yes,No Change,4,Satisfied,3,,Good,South America,Medium,Medium
EMP0692,44,Femaleemale,Designer,Retail,6,Remote,54,10,3,Low,Depression,No,Increase,4,Neutral,5,Daily,Poor,Oceania,Medium,Medium
EMP0693,47,Non-binary,HR,Finance,23,Hybrid,56,6,5,Medium,Burnout,No,No Change,5,Unsatisfied,3,Daily,Average,Oceania,High,High
EMP0694,54,Non-binary,HR,Retail,16,Hybrid,57,6,5,Low,,Yes,Decrease,1,Unsatisfied,1,Daily,Average,Europe,High,Low
EMP0695,48,Maleale,Software Engineer,Healthcare,18,Remote,43,1,3,Low,,Yes,Increase,1,Unsatisfied,1,Weekly,Poor,Oceania,Medium,Low
EMP0696,58,Maleale,Marketing,Retail,3,Onsite,59,9,5,Medium,,No,Increase,4,Neutral,3,,Poor,North America,High,Medium
EMP0697,29,Maleale,HR,IT,29,Onsite,44,4,1,Medium,Depression,No,Decrease,3,Satisfied,1,Weekly,Poor,Europe,Low,Medium
EMP0698,43,Femaleemale,Project Manager,Manufacturing,21,Hybrid,24,13,1,High,Burnout,No,Decrease,4,Neutral,2,Weekly,Poor,Africa,Low,Medium
EMP0699,53,Maleale,Designer,Retail,17,Onsite,60,12,3,Medium,Depression,No,No Change,4,Unsatisfied,5,Daily,Good,Africa,Medium,Medium
EMP0700,43,Prefer not to say,Data Scientist,Finance,12,Hybrid,28,6,3,High,Burnout,No,Increase,3,Satisfied,5,Weekly,Good,Oceania,Medium,Medium
EMP0701,47,Non-binary,Designer,Consulting,18,Onsite,42,15,3,Medium,,No,Increase,1,Satisfied,3,Daily,Poor,South America,Medium,Low
EMP0702,26,Non-binary,Designer,Finance,25,Remote,26,9,2,High,,No,No Change,5,Neutral,3,,Average,North America,Low,High
EMP0703,57,Non-binary,HR,Healthcare,23,Onsite,28,12,1,Medium,,Yes,Increase,5,Unsatisfied,1,Weekly,Poor,North America,Low,High
EMP0704,36,Maleale,Project Manager,Manufacturing,1,Onsite,45,4,1,Medium,Depression,Yes,Increase,5,Neutral,4,,Average,South America,Low,High
EMP0705,26,Maleale,Marketing,IT,5,Remote,37,2,2,Low,,No,Decrease,1,Satisfied,3,,Good,Oceania,Low,Low
EMP0706,47,Femaleemale,Designer,Retail,4,Remote,31,12,3,Low,Depression,Yes,Increase,1,Satisfied,2,,Average,Africa,Medium,Low
EMP0707,59,Femaleemale,Software Engineer,Consulting,7,Remote,22,10,2,Medium,,No,Decrease,2,Neutral,4,,Average,Africa,Low,Low
EMP0708,59,Maleale,Project Manager,Consulting,35,Remote,48,0,4,Medium,,Yes,Decrease,3,Unsatisfied,1,Weekly,Average,Asia,Medium,Medium
EMP0709,40,Prefer not to say,Designer,Education,7,Onsite,55,9,3,Low,,No,Decrease,5,Neutral,4,,Average,North America,Medium,High
EMP0710,31,Femaleemale,Project Manager,IT,3,Onsite,60,15,4,High,Burnout,Yes,Decrease,1,Satisfied,1,,Good,Asia,Medium,Low
EMP0711,37,Prefer not to say,HR,Education,14,Onsite,40,12,3,High,,No,No Change,2,Satisfied,5,,Average,Oceania,Medium,Low
EMP0712,54,Prefer not to say,Software Engineer,Retail,8,Hybrid,30,9,4,Low,Burnout,Yes,Increase,1,Neutral,4,Daily,Poor,Europe,Medium,Low
EMP0713,43,Maleale,Designer,Finance,2,Hybrid,54,9,3,High,Burnout,No,No Change,5,Neutral,3,Weekly,Poor,Asia,Medium,High
EMP0714,24,Femaleemale,Sales,IT,7,Remote,44,7,1,High,Burnout,No,No Change,2,Neutral,5,Daily,Poor,Asia,Low,Low
EMP0715,29,Maleale,Software Engineer,Manufacturing,19,Remote,43,5,5,Medium,Burnout,Yes,No Change,1,Satisfied,5,,Average,North America,High,Low
EMP0716,41,Prefer not to say,Designer,Consulting,11,Onsite,35,7,4,High,Anxiety,Yes,No Change,2,Unsatisfied,5,Daily,Good,North America,Medium,Low
EMP0717,51,Maleale,Software Engineer,Finance,7,Remote,27,0,1,High,Burnout,No,Increase,2,Unsatisfied,3,,Average,Asia,Low,Low
EMP0718,38,Non-binary,Software Engineer,Healthcare,23,Onsite,57,14,3,Medium,Depression,No,Decrease,2,Neutral,1,Weekly,Average,South America,Medium,Low
EMP0719,56,Maleale,Data Scientist,Healthcare,4,Onsite,35,9,2,High,Depression,Yes,Decrease,3,Satisfied,3,,Poor,Africa,Low,Medium
EMP0720,41,Non-binary,Designer,Consulting,30,Remote,26,6,5,Low,Burnout,Yes,Decrease,1,Satisfied,1,,Average,Asia,High,Low
EMP0721,28,Maleale,Designer,Healthcare,15,Hybrid,38,8,2,Medium,Burnout,Yes,No Change,3,Unsatisfied,4,Weekly,Good,Europe,Low,Medium
EMP0722,49,Prefer not to say,HR,Consulting,1,Hybrid,54,14,5,Low,Depression,No,No Change,5,Neutral,1,,Average,Europe,High,High
EMP0723,49,Maleale,Marketing,Manufacturing,27,Hybrid,37,13,4,Medium,Depression,Yes,No Change,5,Neutral,5,,Good,Europe,Medium,High
EMP0724,55,Non-binary,Software Engineer,Finance,16,Onsite,35,10,2,Low,Depression,Yes,Increase,1,Unsatisfied,4,Daily,Good,Europe,Low,Low
EMP0725,60,Prefer not to say,Software Engineer,IT,12,Hybrid,51,2,2,High,Depression,Yes,Decrease,5,Satisfied,5,,Good,South America,Low,High
EMP0726,45,Femaleemale,Sales,Healthcare,12,Remote,56,12,4,Medium,Burnout,No,No Change,3,Unsatisfied,3,Weekly,Poor,Oceania,Medium,Medium
EMP0727,41,Maleale,Sales,Healthcare,10,Remote,59,4,1,Medium,Burnout,No,Increase,5,Unsatisfied,3,Weekly,Average,Europe,Low,High
EMP0728,52,Femaleemale,Data Scientist,Manufacturing,1,Onsite,28,12,3,Low,,No,Increase,5,Unsatisfied,1,Daily,Good,Asia,Medium,High
EMP0729,60,Prefer not to say,Designer,Finance,32,Remote,51,14,2,Medium,,Yes,Increase,1,Neutral,5,Daily,Average,Asia,Low,Low
EMP0730,53,Non-binary,Project Manager,Consulting,19,Onsite,45,6,1,Medium,,Yes,Decrease,3,Satisfied,2,Weekly,Average,Europe,Low,Medium
EMP0731,42,Prefer not to say,Designer,Education,13,Hybrid,23,3,4,High,Burnout,Yes,No Change,1,Unsatisfied,2,Daily,Good,Asia,Medium,Low
EMP0732,43,Prefer not to say,Data Scientist,Education,14,Hybrid,34,9,2,High,Anxiety,Yes,No Change,2,Neutral,4,Weekly,Average,Oceania,Low,Low
EMP0733,43,Maleale,Designer,IT,11,Remote,34,9,3,Medium,Depression,Yes,Decrease,2,Unsatisfied,3,,Good,Europe,Medium,Low
EMP0734,40,Femaleemale,Software Engineer,Retail,3,Onsite,31,6,5,High,,Yes,Decrease,3,Satisfied,4,,Poor,Asia,High,Medium
EMP0735,49,Maleale,Designer,Retail,30,Hybrid,35,3,3,Medium,Depression,No,Decrease,1,Satisfied,1,Weekly,Average,Asia,Medium,Low
EMP0736,24,Maleale,Marketing,Manufacturing,5,Remote,32,5,5,Low,Depression,Yes,Decrease,2,Satisfied,2,Weekly,Average,Oceania,High,Low
EMP0737,30,Prefer not to say,Software Engineer,Finance,12,Hybrid,45,4,4,Medium,Anxiety,No,No Change,5,Satisfied,4,Daily,Good,South America,Medium,High
EMP0738,55,Prefer not to say,HR,Education,27,Remote,45,10,4,High,,No,Increase,1,Unsatisfied,5,Daily,Poor,Africa,Medium,Low
EMP0739,28,Prefer not to say,Project Manager,Retail,21,Hybrid,37,7,5,Low,,Yes,Decrease,2,Satisfied,2,Weekly,Poor,Africa,High,Low
EMP0740,42,Prefer not to say,Sales,Manufacturing,17,Remote,41,12,3,Medium,Burnout,No,Decrease,2,Satisfied,3,,Average,Asia,Medium,Low
EMP0741,60,Non-binary,Designer,Finance,35,Hybrid,59,11,1,Medium,Depression,No,Increase,2,Satisfied,3,Daily,Average,South America,Low,Low
EMP0742,42,Femaleemale,Marketing,Manufacturing,10,Remote,32,2,3,High,,No,Decrease,4,Satisfied,2,,Good,Africa,Medium,Medium
EMP0743,55,Maleale,Marketing,Consulting,14,Hybrid,40,4,5,Medium,Depression,Yes,Decrease,1,Unsatisfied,4,,Average,Asia,High,Low
EMP0744,53,Non-binary,Software Engineer,Healthcare,19,Onsite,39,14,2,High,Burnout,Yes,No Change,4,Satisfied,2,,Poor,North America,Low,Medium
EMP0745,46,Maleale,HR,Healthcare,30,Onsite,60,12,1,Medium,Depression,No,Increase,5,Satisfied,2,Weekly,Poor,North America,Low,High
EMP0746,26,Non-binary,Designer,Healthcare,18,Remote,28,0,4,Medium,Burnout,No,Increase,1,Satisfied,2,Weekly,Good,South America,Medium,Low
EMP0747,53,Maleale,HR,IT,1,Hybrid,32,9,1,Medium,,No,Decrease,2,Unsatisfied,5,Daily,Average,Europe,Low,Low
EMP0748,29,Maleale,HR,Finance,30,Onsite,56,11,2,High,Depression,Yes,No Change,5,Satisfied,4,Weekly,Good,Asia,Low,High
EMP0749,43,Femaleemale,Project Manager,Finance,23,Remote,23,0,1,High,Depression,Yes,Decrease,5,Satisfied,1,Daily,Poor,North America,Low,High
EMP0750,22,Maleale,Sales,IT,18,Onsite,51,1,4,Low,Burnout,No,Decrease,5,Unsatisfied,5,,Poor,South America,Medium,High
EMP0751,51,Non-binary,Data Scientist,IT,22,Remote,32,11,3,Medium,Anxiety,Yes,Increase,4,Neutral,5,Daily,Good,South America,Medium,Medium
EMP0752,33,Prefer not to say,Designer,Healthcare,23,Remote,35,12,5,Medium,,No,Increase,4,Unsatisfied,2,,Poor,Asia,High,Medium
EMP0753,43,Femaleemale,Data Scientist,Healthcare,26,Remote,54,7,5,Medium,Burnout,No,No Change,3,Satisfied,1,Daily,Average,South America,High,Medium
EMP0754,56,Femaleemale,Data Scientist,Education,33,Remote,44,4,2,High,,No,Decrease,3,Satisfied,4,,Average,Oceania,Low,Medium
EMP0755,59,Prefer not to say,Designer,Consulting,17,Remote,36,2,1,Low,Anxiety,Yes,Decrease,3,Unsatisfied,4,Daily,Average,North America,Low,Medium
EMP0756,47,Maleale,Marketing,Manufacturing,11,Remote,24,5,1,Medium,Burnout,Yes,Increase,3,Satisfied,3,Weekly,Poor,South America,Low,Medium
EMP0757,49,Maleale,Software Engineer,Retail,19,Onsite,24,9,2,Low,Depression,No,No Change,2,Unsatisfied,5,Daily,Poor,South America,Low,Low
EMP0758,35,Non-binary,Designer,Manufacturing,26,Remote,32,5,3,Low,Burnout,No,Increase,1,Neutral,4,,Good,South America,Medium,Low
EMP0759,58,Non-binary,Software Engineer,Education,15,Hybrid,21,3,5,Medium,,No,Increase,3,Neutral,1,,Good,South America,High,Medium
EMP0760,36,Maleale,HR,Healthcare,12,Hybrid,20,4,5,Medium,Depression,Yes,Increase,2,Neutral,1,Weekly,Good,Africa,High,Low
EMP0761,22,Femaleemale,Data Scientist,IT,13,Onsite,59,14,2,High,,Yes,No Change,1,Neutral,1,Weekly,Poor,Europe,Low,Low
EMP0762,33,Maleale,Project Manager,IT,26,Hybrid,44,4,1,High,Depression,Yes,Decrease,2,Unsatisfied,1,,Good,Africa,Low,Low
EMP0763,56,Maleale,Marketing,Retail,6,Remote,57,0,3,Low,,Yes,Decrease,4,Neutral,5,Weekly,Average,South America,Medium,Medium
EMP0764,29,Non-binary,Software Engineer,Finance,31,Onsite,56,7,1,Medium,Depression,Yes,Decrease,3,Neutral,4,Weekly,Poor,North America,Low,Medium
EMP0765,39,Maleale,Software Engineer,Education,5,Hybrid,51,0,1,Medium,Anxiety,Yes,Decrease,3,Neutral,3,,Poor,North America,Low,Medium
EMP0766,33,Maleale,Designer,Retail,24,Hybrid,23,15,2,High,Anxiety,Yes,Increase,4,Neutral,1,,Average,Europe,Low,Medium
EMP0767,41,Non-binary,Marketing,Retail,20,Onsite,34,8,5,Low,Anxiety,No,Increase,2,Satisfied,1,Weekly,Average,Europe,High,Low
EMP0768,40,Femaleemale,Marketing,Consulting,3,Remote,45,0,2,Medium,Anxiety,Yes,Decrease,2,Neutral,3,Daily,Good,Europe,Low,Low
EMP0769,36,Maleale,Software Engineer,Healthcare,8,Remote,50,0,4,Low,,Yes,No Change,2,Satisfied,1,Weekly,Good,South America,Medium,Low
EMP0770,40,Non-binary,Project Manager,Healthcare,9,Remote,27,6,5,Medium,Depression,No,Increase,2,Neutral,5,Daily,Good,Oceania,High,Low
EMP0771,33,Femaleemale,Marketing,IT,3,Onsite,60,12,4,Low,,Yes,Decrease,2,Neutral,1,Daily,Good,North America,Medium,Low
EMP0772,30,Prefer not to say,Designer,Education,23,Remote,45,9,1,Medium,Depression,No,Increase,5,Satisfied,2,Weekly,Good,Asia,Low,High
EMP0773,40,Non-binary,Marketing,Healthcare,8,Onsite,41,6,3,Low,,No,Increase,1,Satisfied,1,Daily,Good,Europe,Medium,Low
EMP0774,58,Femaleemale,Project Manager,Manufacturing,26,Onsite,25,5,1,Medium,Burnout,Yes,Decrease,1,Unsatisfied,3,Daily,Poor,South America,Low,Low
EMP0775,45,Femaleemale,Project Manager,Education,6,Hybrid,40,1,2,High,Anxiety,No,Increase,2,Unsatisfied,3,Daily,Good,North America,Low,Low
EMP0776,40,Femaleemale,Sales,Healthcare,9,Remote,58,10,1,Medium,Depression,Yes,Increase,3,Satisfied,2,Weekly,Average,North America,Low,Medium
EMP0777,38,Maleale,Designer,Consulting,20,Hybrid,36,7,5,Medium,Anxiety,Yes,Increase,5,Unsatisfied,5,,Average,North America,High,High
EMP0778,55,Femaleemale,Marketing,Finance,12,Onsite,38,6,2,Medium,,No,Decrease,4,Satisfied,4,Daily,Poor,Asia,Low,Medium
EMP0779,29,Maleale,Project Manager,Manufacturing,30,Hybrid,21,15,5,Medium,Anxiety,Yes,Increase,1,Neutral,4,Weekly,Poor,Africa,High,Low
EMP0780,31,Maleale,Designer,Retail,6,Remote,59,15,3,High,Burnout,Yes,Increase,3,Unsatisfied,1,Daily,Poor,Asia,Medium,Medium
EMP0781,60,Non-binary,Designer,Finance,8,Hybrid,47,0,2,High,Anxiety,Yes,Decrease,3,Satisfied,5,Daily,Poor,North America,Low,Medium
EMP0782,40,Non-binary,HR,IT,21,Onsite,21,1,3,High,Burnout,No,Increase,1,Neutral,5,,Good,Oceania,Medium,Low
EMP0783,24,Non-binary,Data Scientist,Consulting,8,Onsite,26,8,1,Low,,Yes,Increase,1,Satisfied,4,Daily,Poor,Africa,Low,Low
EMP0784,30,Non-binary,Project Manager,Manufacturing,19,Hybrid,58,7,2,Medium,Anxiety,No,No Change,2,Unsatisfied,3,Daily,Good,Africa,Low,Low
EMP0785,28,Prefer not to say,Software Engineer,IT,15,Remote,42,7,3,High,,No,Decrease,3,Satisfied,3,,Poor,Europe,Medium,Medium
EMP0786,46,Prefer not to say,HR,Education,19,Onsite,30,8,3,Low,Anxiety,Yes,Decrease,5,Neutral,2,,Good,South America,Medium,High
EMP0787,22,Prefer not to say,HR,Healthcare,34,Hybrid,46,0,4,Medium,,No,Increase,1,Satisfied,2,Weekly,Poor,Asia,Medium,Low
EMP0788,22,Non-binary,Marketing,Healthcare,21,Remote,48,5,3,High,,Yes,Decrease,3,Neutral,5,Daily,Average,Africa,Medium,Medium
EMP0789,25,Non-binary,Designer,Healthcare,23,Onsite,38,0,2,Medium,Depression,Yes,Decrease,2,Satisfied,4,Daily,Poor,South America,Low,Low
EMP0790,26,Prefer not to say,Data Scientist,Finance,5,Onsite,26,8,5,Low,Burnout,Yes,Decrease,5,Satisfied,2,Weekly,Average,Asia,High,High
EMP0791,46,Non-binary,Data Scientist,Manufacturing,5,Hybrid,59,10,5,Medium,,No,No Change,2,Neutral,1,,Poor,North America,High,Low
EMP0792,46,Non-binary,Marketing,Healthcare,24,Remote,24,11,1,Medium,,Yes,Increase,2,Unsatisfied,2,,Good,Africa,Low,Low
EMP0793,60,Prefer not to say,Data Scientist,IT,8,Hybrid,50,12,1,High,Depression,No,No Change,2,Satisfied,5,Daily,Average,Oceania,Low,Low
EMP0794,55,Maleale,Marketing,Consulting,18,Remote,53,3,2,High,Anxiety,No,Decrease,3,Neutral,3,Daily,Average,Asia,Low,Medium
EMP0795,25,Prefer not to say,Sales,Education,7,Onsite,48,1,5,Low,Depression,Yes,No Change,4,Satisfied,1,Daily,Poor,Europe,High,Medium
EMP0796,42,Femaleemale,Software Engineer,IT,28,Hybrid,39,13,4,Low,Burnout,No,No Change,4,Unsatisfied,1,Daily,Average,Africa,Medium,Medium
EMP0797,30,Non-binary,Software Engineer,Finance,13,Onsite,42,10,3,Low,Burnout,No,No Change,5,Unsatisfied,4,,Good,Europe,Medium,High
EMP0798,58,Maleale,Data Scientist,IT,14,Remote,50,1,4,Medium,Burnout,Yes,No Change,4,Unsatisfied,1,,Good,Africa,Medium,Medium
EMP0799,46,Maleale,Data Scientist,Education,23,Onsite,59,6,4,High,,Yes,Decrease,3,Satisfied,4,,Good,Europe,Medium,Medium
EMP0800,36,Femaleemale,Marketing,Consulting,7,Onsite,20,8,1,Low,Depression,Yes,Decrease,3,Unsatisfied,3,Daily,Poor,Africa,Low,Medium
EMP0801,46,Femaleemale,Marketing,Manufacturing,3,Remote,32,10,5,Medium,Burnout,Yes,Decrease,5,Satisfied,4,Daily,Good,Europe,High,High
EMP0802,24,Maleale,Data Scientist,Manufacturing,24,Hybrid,45,7,2,High,,Yes,No Change,1,Unsatisfied,4,,Average,Africa,Low,Low
EMP0803,27,Maleale,Sales,Education,2,Onsite,45,13,5,Medium,,Yes,Increase,2,Satisfied,5,Weekly,Good,Oceania,High,Low
EMP0804,39,Prefer not to say,Data Scientist,IT,6,Onsite,39,7,1,Low,Burnout,Yes,No Change,5,Unsatisfied,5,Weekly,Good,Oceania,Low,High
